"Cod_IBGE","Municipio","PropMedicosSUS"
3502507,"Aparecida","0,10535325519042"
3503158,"Arapeí",0
3503505,"Areias",0
3504909,"Bananal","0,073761150029632"
3508504,"Caçapava",1
3508603,"Cachoeira Paulista","0,634408135951064"
3509700,"Campos do Jordão","0,938963436471885"
3509957,"Canas",0
3510500,"Caraguatatuba","0,73768715275789"
3513405,"Cruzeiro","0,906087712391494"
3513603,"Cunha","0,119102287880547"
3518404,"Guaratinguetá","0,655860050623383"
3520202,"Igaratá",0
3520400,"Ilhabela","0,102845831138877"
3524402,"Jacareí","0,914079390778709"
3524907,"Jambeiro",0
3526308,"Lagoinha","0,301191362620998"
3526605,"Lavrinhas",0
3527207,"Lorena","0,605288467515891"
3531704,"Monteiro Lobato",0
3532306,"Natividade da Serra",0
3535606,"Paraibuna","0,169089887787226"
3538006,"Pindamonhangaba","0,545585455208855"
3538501,"Piquete","0,516328050207425"
3540754,"Potim",0
3541901,"Queluz",0
3542305,"Redenção da Serra",0
3544301,"Roseira",0
3546009,"Santa Branca","0,20653122008297"
3548203,"Santo Antônio do Pinhal",0
3548609,"São Bento do Sapucaí",0
3549607,"São José do Barreiro",0
3549904,"São José dos Campos","0,901306215689432"
3550001,"São Luís do Paraitinga","0,324880570917031"
3550704,"São Sebastião","0,30794820488238"
3552007,"Silveiras",0
3554102,"Taubaté","0,539481286985147"
3554805,"Tremembé","0,615199378970549"
3555406,"Ubatuba","0,257854475912941"
